"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Ano x Sexo x Cor ou raça"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";;;;;;"Homens";;;;;;"Mulheres"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena"
"5";"Centro-Oeste";"Total";"94,94";"96,29";"92,22";"97,72";"94,62";"86,53";"94,67";"96,15";"91,87";"97,68";"94,32";"89,17";"95,19";"96,41";"92,63";"97,75";"94,91";"83,98"
"5";"Centro-Oeste";"15 a 19 anos";"98,96";"99,13";"98,88";"99,19";"98,95";"96,27";"98,68";"98,92";"98,55";"99,17";"98,62";"96,71";"99,25";"99,33";"99,26";"99,21";"99,30";"95,83"
"5";"Centro-Oeste";"20 a 24 anos";"98,96";"99,16";"98,88";"99,32";"98,92";"95,80";"98,66";"98,99";"98,53";"99,13";"98,55";"96,44";"99,25";"99,33";"99,30";"99,48";"99,29";"95,15"
"5";"Centro-Oeste";"25 a 34 anos";"98,82";"99,13";"98,54";"99,16";"98,78";"93,76";"98,47";"98,90";"98,05";"99,04";"98,36";"95,32";"99,16";"99,34";"99,14";"99,26";"99,18";"92,27"
"5";"Centro-Oeste";"35 a 44 anos";"97,65";"98,53";"96,49";"98,80";"97,43";"87,13";"97,08";"98,14";"95,62";"98,46";"96,80";"90,95";"98,19";"98,88";"97,52";"99,08";"98,03";"83,55"
"5";"Centro-Oeste";"45 a 54 anos";"94,92";"96,84";"91,83";"97,80";"94,33";"79,48";"94,07";"96,19";"90,61";"97,53";"93,49";"83,91";"95,72";"97,41";"93,24";"98,03";"95,14";"75,05"
"5";"Centro-Oeste";"55 a 64 anos";"90,75";"94,37";"83,89";"96,90";"89,24";"71,13";"90,12";"93,90";"82,95";"96,88";"88,69";"73,56";"91,32";"94,77";"84,90";"96,91";"89,74";"68,89"
"5";"Centro-Oeste";"65 anos ou mais";"80,64";"86,94";"67,34";"94,48";"76,86";"51,90";"80,99";"87,43";"67,42";"95,25";"77,53";"57,42";"80,35";"86,56";"67,27";"93,75";"76,28";"47,40"
"11";"Rondônia";"Total";"93,55";"94,66";"90,21";"96,52";"93,61";"86,74";"93,55";"94,84";"90,34";"96,25";"93,56";"88,84";"93,55";"94,49";"90,05";"96,74";"93,67";"84,58"
"11";"Rondônia";"15 a 19 anos";"98,80";"98,95";"98,45";"98,93";"98,79";"97,64";"98,43";"98,66";"98,01";"99,19";"98,41";"97,57";"99,17";"99,24";"99,01";"98,72";"99,20";"97,72"
"11";"Rondônia";"20 a 24 anos";"98,76";"98,84";"98,38";"99,35";"98,80";"97,49";"98,38";"98,59";"97,72";"98,66";"98,41";"97,69";"99,13";"99,08";"99,23";"100,00";"99,18";"97,27"
"11";"Rondônia";"25 a 34 anos";"98,67";"98,85";"98,41";"99,34";"98,67";"96,43";"98,32";"98,62";"97,98";"99,40";"98,27";"96,30";"99,01";"99,06";"98,93";"99,29";"99,04";"96,57"
"11";"Rondônia";"35 a 44 anos";"97,51";"98,22";"96,55";"98,21";"97,41";"91,59";"97,06";"97,86";"96,14";"98,79";"96,90";"93,73";"97,95";"98,54";"97,07";"97,79";"97,88";"89,36"
"11";"Rondônia";"45 a 54 anos";"94,17";"95,86";"91,55";"98,85";"93,90";"76,63";"93,65";"95,26";"91,07";"98,62";"93,43";"83,05";"94,67";"96,40";"92,16";"99,01";"94,36";"70,41"
"11";"Rondônia";"55 a 64 anos";"87,37";"91,34";"80,86";"93,26";"86,35";"64,09";"87,81";"91,84";"81,35";"92,12";"86,83";"70,51";"86,93";"90,84";"80,26";"94,24";"85,87";"57,64"
"11";"Rondônia";"65 anos ou mais";"72,04";"78,85";"60,37";"87,27";"69,76";"38,80";"74,84";"81,75";"63,29";"88,17";"72,89";"42,59";"69,27";"76,19";"56,87";"86,22";"66,63";"35,15"
"12";"Acre";"Total";"87,87";"90,67";"83,53";"90,40";"88,09";"75,84";"86,83";"89,54";"82,86";"89,21";"86,89";"81,34";"88,90";"91,70";"84,38";"91,26";"89,27";"70,25"
"12";"Acre";"15 a 19 anos";"97,61";"97,86";"97,93";"98,21";"97,99";"90,01";"97,13";"97,24";"97,39";"100,00";"97,41";"91,29";"98,13";"98,45";"98,59";"96,84";"98,61";"88,77"
"12";"Acre";"20 a 24 anos";"97,27";"97,80";"97,11";"97,14";"97,63";"87,87";"96,77";"97,36";"96,60";"96,84";"96,90";"91,91";"97,78";"98,23";"97,77";"97,39";"98,37";"83,31"
"12";"Acre";"25 a 34 anos";"95,90";"96,94";"95,70";"97,04";"96,13";"83,32";"94,99";"95,86";"94,91";"96,12";"95,08";"87,11";"96,78";"97,93";"96,73";"97,61";"97,12";"79,49"
"12";"Acre";"35 a 44 anos";"90,40";"92,93";"88,04";"92,53";"90,51";"73,41";"89,18";"91,52";"86,89";"88,36";"89,17";"81,26";"91,58";"94,13";"89,52";"95,54";"91,79";"65,19"
