"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"1";"Norte";"Branca";"25 a 34 anos";"536606";"259786";"276820";"525695";"253146";"272549";"10911";"6640";"4271"
"1";"Norte";"Branca";"35 a 44 anos";"524018";"245896";"278122";"504723";"234551";"270172";"19295";"11345";"7950"
"1";"Norte";"Branca";"45 a 54 anos";"399733";"188401";"211332";"373058";"173317";"199741";"26675";"15084";"11591"
"1";"Norte";"Branca";"55 a 64 anos";"294720";"141751";"152969";"263464";"125655";"137809";"31256";"16096";"15160"
"1";"Norte";"Branca";"65 anos ou mais";"295080";"133214";"161866";"233527";"105530";"127997";"61553";"27684";"33869"
"1";"Norte";"Preta";"Total";"1285471";"711699";"573772";"1138355";"623583";"514772";"147116";"88116";"59000"
"1";"Norte";"Preta";"15 a 19 anos";"120628";"66016";"54612";"118002";"64162";"53840";"2626";"1854";"772"
"1";"Norte";"Preta";"20 a 24 anos";"138480";"76331";"62149";"135525";"74191";"61334";"2955";"2140";"815"
"1";"Norte";"Preta";"25 a 34 anos";"266546";"148067";"118479";"258591";"142483";"116108";"7955";"5584";"2371"
"1";"Norte";"Preta";"35 a 44 anos";"270060";"151267";"118793";"251554";"138701";"112853";"18506";"12566";"5940"
"1";"Norte";"Preta";"45 a 54 anos";"208782";"118102";"90680";"180730";"100098";"80632";"28052";"18004";"10048"
"1";"Norte";"Preta";"55 a 64 anos";"147216";"80960";"66256";"113330";"61277";"52053";"33886";"19683";"14203"
"1";"Norte";"Preta";"65 anos ou mais";"133759";"70956";"62803";"80623";"42671";"37952";"53136";"28285";"24851"
"1";"Norte";"Amarela";"Total";"24807";"11068";"13739";"23680";"10533";"13147";"1127";"535";"592"
"1";"Norte";"Amarela";"15 a 19 anos";"2332";"995";"1337";"2305";"983";"1322";"27";"12";"15"
"1";"Norte";"Amarela";"20 a 24 anos";"2498";"1032";"1466";"2459";"1009";"1450";"39";"23";"16"
"1";"Norte";"Amarela";"25 a 34 anos";"5025";"2132";"2893";"4959";"2100";"2859";"66";"32";"34"
"1";"Norte";"Amarela";"35 a 44 anos";"5018";"2185";"2833";"4885";"2112";"2773";"133";"73";"60"
"1";"Norte";"Amarela";"45 a 54 anos";"3685";"1657";"2028";"3493";"1572";"1921";"192";"85";"107"
"1";"Norte";"Amarela";"55 a 64 anos";"2756";"1311";"1445";"2521";"1203";"1318";"235";"108";"127"
"1";"Norte";"Amarela";"65 anos ou mais";"3493";"1756";"1737";"3058";"1554";"1504";"435";"202";"233"
"1";"Norte";"Parda";"Total";"8689862";"4281179";"4408683";"7996985";"3898981";"4098004";"692877";"382198";"310679"
"1";"Norte";"Parda";"15 a 19 anos";"1056004";"539560";"516444";"1034902";"525304";"509598";"21102";"14256";"6846"
"1";"Norte";"Parda";"20 a 24 anos";"1031918";"515662";"516256";"1010997";"501977";"509020";"20921";"13685";"7236"
"1";"Norte";"Parda";"25 a 34 anos";"1894967";"918782";"976185";"1843915";"885800";"958115";"51052";"32982";"18070"
"1";"Norte";"Parda";"35 a 44 anos";"1794406";"879577";"914829";"1696476";"820266";"876210";"97930";"59311";"38619"
"1";"Norte";"Parda";"45 a 54 anos";"1288524";"637934";"650590";"1156308";"561461";"594847";"132216";"76473";"55743"
"1";"Norte";"Parda";"55 a 64 anos";"873673";"428402";"445271";"726413";"350648";"375765";"147260";"77754";"69506"
"1";"Norte";"Parda";"65 anos ou mais";"750370";"361262";"389108";"527974";"253525";"274449";"222396";"107737";"114659"
"1";"Norte";"Indígena";"Total";"324661";"163737";"160924";"265991";"137944";"128047";"58670";"25793";"32877"
"1";"Norte";"Indígena";"15 a 19 anos";"59761";"30413";"29348";"54264";"27709";"26555";"5497";"2704";"2793"
"1";"Norte";"Indígena";"20 a 24 anos";"50263";"25357";"24906";"45603";"23165";"22438";"4660";"2192";"2468"
"1";"Norte";"Indígena";"25 a 34 anos";"74655";"37342";"37313";"66805";"33846";"32959";"7850";"3496";"4354"
"1";"Norte";"Indígena";"35 a 44 anos";"55467";"28106";"27361";"46307";"24296";"22011";"9160";"3810";"5350"
"1";"Norte";"Indígena";"45 a 54 anos";"36752";"18846";"17906";"27298";"14779";"12519";"9454";"4067";"5387"
"1";"Norte";"Indígena";"55 a 64 anos";"24050";"12160";"11890";"15332";"8381";"6951";"8718";"3779";"4939"
